tarefa,braco,modelo,replica,ordem,input_tokens,output_tokens,custo_usd,probes,sucesso,duracao_s,observacoes
T1-bugfix,A,Claude Sonnet 5,1,A-B,5299,282,0.013418,1.0,1,5.7,
T1-bugfix,B,Claude Sonnet 5,1,A-B,393,226,0.003046,1.0,1,4.4,
T1-bugfix,A,Claude Fable 5,1,A-B,5299,333,0.06964,1.0,1,9.8,
T1-bugfix,B,Claude Fable 5,1,A-B,393,3,0.0,0.0,0,5.4,empty response
T1-bugfix,B,Claude Fable 5,2,B-A,393,1,0.0,0.0,0,4.4,empty response
T1-bugfix,A,Claude Fable 5,2,B-A,5299,318,0.06889,1.0,1,7.7,
T1-bugfix,A,Claude Fable 5,3,A-B,5299,81,0.05704,0.333,0,6.3,
T1-bugfix,B,Claude Fable 5,3,A-B,393,1,0.0,0.0,0,3.7,empty response
T1-bugfix,A,Claude Opus 4.8,1,A-B,5299,229,0.03222,1.0,1,5.2,
T1-bugfix,B,Claude Opus 4.8,1,A-B,393,224,0.007565,1.0,1,4.4,
T1-bugfix,B,Claude Opus 4.8,2,B-A,393,233,0.00779,1.0,1,3.9,
T1-bugfix,A,Claude Opus 4.8,2,B-A,5299,225,0.03212,1.0,1,5.5,
T1-bugfix,A,Claude Opus 4.8,3,A-B,5299,249,0.03272,1.0,1,4.8,
T1-bugfix,B,Claude Opus 4.8,3,A-B,393,225,0.00759,1.0,1,4.0,
T1-bugfix,A,Claude Sonnet 5,1,A-B,5299,174,0.012338,1.0,1,5.8,
T1-bugfix,B,Claude Sonnet 5,1,A-B,393,225,0.003036,1.0,1,5.0,
T1-bugfix,B,Claude Sonnet 5,2,B-A,393,234,0.003126,1.0,1,4.8,
T1-bugfix,A,Claude Sonnet 5,2,B-A,5299,305,0.013648,1.0,1,5.6,
T1-bugfix,A,Claude Sonnet 5,3,A-B,5299,188,0.012478,1.0,1,4.4,
T1-bugfix,B,Claude Sonnet 5,3,A-B,393,224,0.003026,1.0,1,4.6,
T1-bugfix,A,GPT-5.6 Sol,1,A-B,3518,78,0.024324,1.0,1,2.4,
T1-bugfix,B,GPT-5.6 Sol,1,A-B,245,78,0.003565,1.0,1,2.6,
T1-bugfix,B,GPT-5.6 Sol,2,B-A,245,71,0.003355,1.0,1,2.0,
T1-bugfix,A,GPT-5.6 Sol,2,B-A,3518,72,0.003933,1.0,1,1.9,
T1-bugfix,A,GPT-5.6 Sol,3,A-B,3518,78,0.004112,1.0,1,1.9,
T1-bugfix,B,GPT-5.6 Sol,3,A-B,245,78,0.003565,1.0,1,2.1,
T1-bugfix,A,GLM-5.2,1,A-B,3584,508,0.004857,1.0,1,11.2,
T1-bugfix,B,GLM-5.2,1,A-B,274,240,0.001344,1.0,1,27.7,
T1-bugfix,B,GLM-5.2,2,B-A,274,452,0.001317,1.0,1,8.9,
T1-bugfix,A,GLM-5.2,2,B-A,3584,387,0.00672,1.0,1,4.9,
T1-bugfix,A,GLM-5.2,3,A-B,3584,201,0.005489,1.0,1,9.1,
T1-bugfix,B,GLM-5.2,3,A-B,274,204,0.000637,1.0,1,4.4,
T1-bugfix,A,Grok 4.5,1,A-B,3665,473,0.009976,1.0,1,3.1,
T1-bugfix,B,Grok 4.5,1,A-B,466,563,0.00431,1.0,1,4.5,
T1-bugfix,B,Grok 4.5,2,B-A,466,457,0.003482,1.0,1,3.5,
T1-bugfix,A,Grok 4.5,2,B-A,3665,529,0.005128,1.0,1,4.0,
